Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,37.799999,37.799999,32.042999,32.790001000000004,32.790001000000004,1391900
2015-08-04,32.790001000000004,32.860001000000004,15.09,19.889999,19.889999,8182700
2015-08-05,21.0,25.27,20.309998999999998,20.75,20.75,2802600
2015-08-06,20.73,21.280001000000002,19.469998999999998,20.040001,20.040001,786100
2015-08-07,20.040001,20.17,16.59,17.77,17.77,896800
2015-08-10,18.0,19.51,18.0,18.82,18.82,902100
2015-08-11,18.799999,19.08,18.0,18.360001,18.360001,719800
2015-08-12,17.82,20.290001,17.700001,19.5,19.5,631100
2015-08-13,19.299999,22.969998999999998,19.299999,22.379998999999998,22.379998999999998,1228800
2015-08-14,22.450001,22.67,21.129998999999998,22.620001000000002,22.620001000000002,695600
2015-08-17,22.4,23.639999,22.039,23.059998999999998,23.059998999999998,599000
2015-08-18,23.15,25.74,23.049999,24.120001000000002,24.120001000000002,832400
2015-08-19,23.82,24.121,21.860001,22.799999,22.799999,499800
2015-08-20,22.59,22.809,21.16,21.790001,21.790001,445600
2015-08-21,22.049999,25.690001000000002,22.049999,24.299999,24.299999,1126300
2015-08-24,22.459999,23.35,21.879998999999998,22.299999,22.299999,507900
2015-08-25,23.33,25.49,21.065001000000002,21.34,21.34,367000
2015-08-26,21.610001,22.5,19.940001000000002,21.6,21.6,735800
2015-08-27,21.950001,22.344998999999998,20.5,21.76,21.76,262200
2015-08-28,21.469998999999998,22.52,20.309998999999998,22.49,22.49,324700
2015-08-31,22.290001,24.75,22.024,23.610001,23.610001,441500
2015-09-01,23.139999,23.254998999999998,21.719998999999998,22.120001000000002,22.120001000000002,615400
2015-09-02,22.34,25.57,22.07,25.030001000000002,25.030001000000002,1028900
2015-09-03,25.0,27.610001,23.91,25.299999,25.299999,666300
2015-09-04,24.83,25.200001,23.58,23.950001,23.950001,453900
2015-09-08,24.67,24.67,23.629998999999998,23.799999,23.799999,192900
2015-09-09,23.879998999999998,23.93,22.219998999999998,22.34,22.34,312100
2015-09-10,22.25,23.858,22.110001,23.030001000000002,23.030001000000002,336200
2015-09-11,22.940001000000002,22.969998999999998,22.200001,22.5,22.5,399500
2015-09-14,22.459999,24.620001000000002,22.214001,23.190001000000002,23.190001000000002,438300
2015-09-15,23.469998999999998,23.49,22.530001000000002,22.559998999999998,22.559998999999998,153700
2015-09-16,22.66,24.139999,22.379998999999998,23.93,23.93,171300
2015-09-17,23.799999,24.190001000000002,23.040001,23.65,23.65,248200
2015-09-18,23.33,24.219998999999998,23.01,23.780001000000002,23.780001000000002,267500
2015-09-21,23.870001000000002,23.870001000000002,22.940001000000002,23.549999,23.549999,180600
2015-09-22,23.18,23.450001,22.24,23.15,23.15,228800
2015-09-23,23.370001000000002,24.934998999999998,23.139999,24.190001000000002,24.190001000000002,401500
2015-09-24,24.15,24.809998999999998,23.780001000000002,24.68,24.68,383300
