Date,Open,High,Low,Close,Adj Close,Volume
2015-04-20,7.4,7.443,7.18,7.42,7.42,92100
2015-04-21,7.43,7.62,7.3,7.57,7.57,15900
2015-04-22,7.58,7.65,7.468999999999999,7.5,7.5,26200
2015-04-23,7.48,7.5,7.4,7.472,7.472,5100
2015-04-24,7.44,7.48,7.4,7.46,7.46,3800
2015-04-27,7.44,7.506,7.34,7.35,7.35,12000
2015-04-28,7.4,7.49,7.38,7.49,7.49,14300
2015-04-29,7.49,7.49,7.49,7.49,7.49,0
2015-04-30,7.31,7.48,7.25,7.28,7.28,13700
2015-05-01,7.324,7.324,7.2,7.29,7.29,20100
2015-05-04,7.271,7.35,7.18,7.27,7.27,22400
2015-05-05,7.28,7.425,7.22,7.33,7.33,19100
2015-05-06,7.29,7.37,7.29,7.37,7.37,7800
2015-05-07,7.31,7.45,7.281000000000001,7.44,7.44,9300
2015-05-08,7.43,7.46,7.31,7.46,7.46,11000
2015-05-11,7.46,7.562,7.35,7.52,7.52,18700
2015-05-12,7.52,7.56,7.32,7.48,7.48,10000
2015-05-13,7.48,7.53,7.388,7.5,7.5,14700
2015-05-14,7.5,7.675,7.44,7.44,7.44,31900
2015-05-15,7.51,7.66,7.51,7.6,7.6,18800
2015-05-18,7.55,7.73,7.45,7.55,7.55,14800
2015-05-19,7.55,7.59,7.5,7.51,7.51,15200
2015-05-20,7.57,7.58,7.542000000000001,7.55,7.55,5500
2015-05-21,7.56,7.56,7.51,7.54,7.54,4400
2015-05-22,7.54,7.86,7.51,7.665,7.665,11900
2015-05-26,7.63,7.63,7.46,7.468,7.468,8900
2015-05-27,7.461,7.474,7.37,7.46,7.46,6200
2015-05-28,7.51,7.686,7.45,7.57,7.57,16600
2015-05-29,7.67,7.99,7.67,7.95,7.95,25800
2015-06-01,7.92,8.03,7.86,7.9,7.9,37400
2015-06-02,7.95,7.95,7.85,7.875,7.875,6800
2015-06-03,7.871,7.95,7.87,7.95,7.95,10700
2015-06-04,7.98,8.3,7.97,7.99,7.99,44200
2015-06-05,7.97,7.99,7.865,7.97,7.97,9100
2015-06-08,7.97,7.97,7.91,7.94,7.94,2700
2015-06-09,8.0,8.0,7.9,7.91,7.91,6000
2015-06-10,7.91,7.95,7.84,7.88,7.88,2700
2015-06-11,7.9,7.9,7.85,7.85,7.85,2100
2015-06-12,7.83,7.875,7.7,7.84,7.84,5500
2015-06-15,7.93,8.59,7.86,7.965,7.965,18500
2015-06-16,8.12,8.29,7.982,8.14,8.14,15500
2015-06-17,8.01,8.4,8.01,8.32,8.32,53300
2015-06-18,8.33,8.36,8.16,8.33,8.33,9800
2015-06-19,8.27,8.58,8.15,8.58,8.58,18900
2015-06-22,8.4,8.4,8.32,8.32,8.32,12900
2015-06-23,8.33,8.35,8.33,8.34,8.34,500
2015-06-24,8.385,8.425,8.35,8.35,8.35,7200
2015-06-25,8.39,8.39,8.29,8.29,8.29,12700
2015-06-26,8.28,8.28,8.21,8.24,8.24,2900
2015-06-29,8.25,8.29,8.15,8.15,8.15,12900
2015-06-30,8.15,8.2,8.15,8.15,8.15,8800
2015-07-01,8.15,8.21,8.14,8.14,8.14,7900
2015-07-02,8.145,8.145,8.11,8.11,8.11,700
2015-07-06,8.13,8.13,8.02,8.02,8.02,5400
2015-07-07,7.97,8.014,7.72,7.84,7.84,30100
2015-07-08,7.78,7.97,7.62,7.805,7.805,15600
2015-07-09,7.816,7.832999999999999,7.65,7.79,7.79,46900
2015-07-10,7.78,7.97,7.75,7.92,7.92,6600
2015-07-13,7.95,7.99,7.75,7.91,7.91,179200
2015-07-14,7.9,8.08,7.76,8.05,8.05,33000
2015-07-15,8.04,8.04,8.04,8.04,8.04,100
2015-07-16,8.05,8.05,8.0,8.042,8.042,10800
2015-07-17,8.01,8.05,8.0,8.05,8.05,13700
2015-07-20,7.99,8.08,7.9639999999999995,8.01,8.01,7200
2015-07-21,7.96,7.99,7.96,7.99,7.99,700
2015-07-22,7.85,7.95,7.83,7.94,7.94,24200
2015-07-23,7.843,7.843,7.84,7.84,7.84,300
2015-07-24,7.84,7.894,7.83,7.83,7.83,6200
2015-07-27,7.76,7.9,7.75,7.83,7.83,18300
2015-07-28,7.72,7.72,7.65,7.65,7.65,2100
2015-07-29,7.791,7.8,7.7,7.72,7.72,6700
2015-07-30,7.74,7.93,7.72,7.88,7.88,87700
2015-07-31,7.96,7.97,7.88,7.88,7.88,900
